Player,Pos,Team,Opp,Start/Line,PP Unit,Goals,Win %,Salary,Ceiling,Avg,FC Proj,My Proj,Exp.,Used,Con.,Value
Justin Bailey,W,VAN,@ EDM,,,2.53,42.6%,3000,0.00,3.4,0.00,0.00,100,,30,0.00
Jack Rodewald,W,OTT,@ TOR,,,2.37,26.5%,3000,0.00,0.5,0.00,0.00,100,,1,0.00
Scott Sabourin,W,OTT,@ TOR,4,,2.37,26.5%,3000,1.6,1.6,2.75,2.75,100,,0,0.92
Nick Lappin,W,STL,vs WSH,,,3.02,59%,3000,0.00,3.0,0.00,0.00,100,,28,0.00
Kalle Kossila,W,TOR,vs OTT,,,4.13,73.5%,3000,0.00,2.1,0.00,0.00,100,,12,0.00
Mackenzie Maceachern,W,STL,vs WSH,,,3.02,59%,3000,0.00,1.6,0.00,0.00,100,,0,0.00
Tyler Motte,W,VAN,@ EDM,,,2.53,42.6%,3000,0.00,4.8,0.00,0.00,100,,43,0.00
Patrick Russell,W,EDM,vs VAN,,,2.97,57.4%,3000,0.00,1.5,0.00,0.00,100,,30,0.00
Jesse Puljujarvi,W,EDM,vs VAN,,,2.97,57.4%,3000,0.00,5.9,0.00,0.00,100,,37,0.00
Jordan Kyrou,W,STL,vs WSH,,,3.02,59%,3000,0.00,2.7,0.00,0.00,100,,25,0.00
Trevor Moore,W,TOR,vs OTT,3,,4.13,73.5%,3000,23.2,3.7,6.15,6.15,100,,28,2.05
Josh Currie,W,EDM,vs VAN,,,2.97,57.4%,3000,0.00,3.4,0.00,0.00,100,,20,0.00
Kailer Yamamoto,W,EDM,vs VAN,,,2.97,57.4%,3000,0.00,4.4,0.00,0.00,100,,14,0.00
Klim Kostin,W,STL,vs WSH,,,3.02,59%,3000,0.00,5.3,0.00,0.00,100,,0,0.00
Zack MacEwen,W,VAN,@ EDM,,,2.53,42.6%,3000,0.00,2.4,0.00,0.00,100,,1,0.00
Darren Archibald,W,TOR,vs OTT,,,4.13,73.5%,3000,0.00,4.1,0.00,0.00,100,,34,0.00
Shane Gersich,C,WSH,@ STL,,,2.48,41%,3000,0.00,1.4,0.00,0.00,100,,0,0.00
Dylan Gambrell,W,SJ,@ VGK,4,2,2.81,37.7%,3000,28.8,1.3,2.23,2.23,100,,0,0.74
Colt Conrad,C,TOR,vs OTT,,,4.13,73.5%,3000,0.00,,0.00,0.00,100,,0,0.00
Maxim Trepanier,W,OTT,@ TOR,,,2.37,26.5%,3000,0.00,,0.00,0.00,100,,0,0.00
Anton Burdasov,W,EDM,vs VAN,,,2.97,57.4%,3000,0.00,,0.00,0.00,100,,0,0.00
Lean Bergmann,W,SJ,@ VGK,2,,2.81,37.7%,3000,,,10.30,10.30,100,,0,3.43
Danil Yurtaykin,W,SJ,@ VGK,1,,2.81,37.7%,3000,,,11.03,11.03,100,,0,3.68
